Año,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2012,34.0,34.9,35.2,31.0,28.0,24.0,28.4,25.5,29.8,29.1,32.6,32.8
2013,35.8,35.7,33.0,32.1,28.1,25.0,26.5,30.8,29.7,30.9,33.9,34.3
2014,35.2,33.6,34.7,31.1,27.7,26.2,26.1,31.0,29.5,32.1,32.0,34.9
2015,35.9,35.9,36.2,33.0,31.6,25.5,24.5,27.5,28.6,26.9,32.4,35.3
2016,35.6,34.5,35.0,27.2,27.1,25.0,23.1,26.8,32.0,31.6,34.8,37.3
2017,37.4,34.9,34.9,32.0,27.6,21.3,25.4,26.3,31.5,29.3,33.0,34.5
2018,34.9,35.4,32.6,27.9,25.8,27.3,24.0,28.2,31.3,28.9,34.5,33.4
2019,38.3,36.2,31.9,32.4,28.2,22.4,24.6,29.0,28.8,33.1,34.9,36.7
2020,34.5,35.0,35.0,33.9,30.7,24.3,23.8,25.8,28.3,31.2,33.2,33.5
2021,33.1,33.6,33.8,31.4,27.3,25.7,27.9,27.9,32.2,33.4,33.6,34.3
2022,33.6,34.9,33.0,30.4,27.2,24.7,22.3,30.5,29.2,29.6,33.9,36.7
2023,34.4,35.8,34.1,32.5,29.0,26.9,26.1,27.4,26.3,27.9,32.8,35.7
2024,37.3,36.1,32.7,32.1,22.5,21.5,25.6,25.8,28.0,34.3,32.2,35.6
